,AcceptedAnswerId,AnswerCount,Body,ClosedDate,CommentCount,CommunityOwnedDate,CreationDate,FavoriteCount,Id,LastActivityDate,LastEditDate,LastEditorDisplayName,LastEditorUserId,OwnerDisplayName,OwnerUserId,ParentId,PostTypeId,Score,Tags,Title,ViewCount,body_text
0,15,9,"<p>I've always wanted to start writing (in a totally amateur way), but whenever I want to start something I instantly get blocked having a lot of questions and doubts.</p>

<p>Are there some resources on how to start becoming a writer?</p>

<p>I'm thinking something with tips and easy exercises to get the ball rolling.</p>
",,7,,2010-11-18T20:40:32.857,17,1,2019-02-10T04:06:33.283,2019-02-10T04:06:33.283,user29032,32946,,8,,1,32,<resources><first-time-author>,What are some online guides for starting writers?,1274,"I've always wanted to start writing (in a totally amateur way), but whenever I want to start something I instantly get blocked having a lot of questions and doubts.
Are there some resources on how to start becoming a writer?
I'm thinking something with tips and easy exercises to get the ball rolling.
"
1,16,7,"<p>What kind of story is better suited for each point of view? Are there advantages or disadvantages inherent to them?</p>

<p>For example, writing in the first person you are always <em>following</em> a character, while in the third person you can ""jump"" between story lines.</p>
",,0,,2010-11-18T20:42:31.513,5,2,2018-04-29T19:35:55.850,2018-04-29T19:35:55.850,user29032,,,8,,1,20,<fiction><grammatical-person><third-person>,What is the difference between writing in the first and the third person?,8426,"What kind of story is better suited for each point of view? Are there advantages or disadvantages inherent to them?
For example, writing in the first person you are always following a character, while in the third person you can ""jump"" between story lines.
"
2,31,5,"<p>I finished my novel, and everyone I've talked to says I need an agent. How do I find one?</p>
",,1,,2010-11-18T20:43:28.903,10,3,2018-05-04T11:04:09.610,2018-05-04T11:04:09.610,,23159,,25,,1,34,<publishing><novel><agent>,How do I find an agent?,707,"I finished my novel, and everyone I've talked to says I need an agent. How do I find one?
"
3,,7,"<p>When writing a short-story to highlight a certain truth, is it typically a better practice to construct a point to exemplify through the short-story?</p>

<p>In other words, construct the characters, plot and setting based on the point I want to portray, instead of focusing on plot first.</p>

<p>Although, I need to make sure the plot is engaging.</p>

<p>Is this a good practice?</p>
",,0,,2010-11-18T20:43:59.693,4,5,2018-04-29T19:29:44.710,2018-04-29T19:22:54.380,user29032,,,11,,1,28,<plot><short-story><planning><brainstorming>,Decide on a theme/overarching meaning before writing a short story?,3132,"When writing a short-story to highlight a certain truth, is it typically a better practice to construct a point to exemplify through the short-story?
In other words, construct the characters, plot and setting based on the point I want to portray, instead of focusing on plot first.
Although, I need to make sure the plot is engaging.
Is this a good practice?
"
4,85,10,"<p>I keep hearing about literary fiction, and how it is so much better than genre fiction. What exactly is literary fiction?</p>
",,1,,2010-11-18T20:45:44.067,5,7,2018-04-29T19:26:50.553,2010-11-18T21:16:41.767,,25,,25,,1,21,<fiction><genre><categories>,What is Literary Fiction?,795,"I keep hearing about literary fiction, and how it is so much better than genre fiction. What exactly is literary fiction?
"
5,,,"<p>BeginningWriters.com has some good articles for beginning writers.</p>

<p><a href=""http://beginningwriters.com/"">http://beginningwriters.com/</a></p>
",,0,,2010-11-18T20:45:45.533,,8,2010-11-18T20:45:45.533,,,,,28,1,2,9,,,,"BeginningWriters.com has some good articles for beginning writers.
http://beginningwriters.com/
"
6,,25,"<p>Whenever I attempt to write something, I do it in a common word processor (like Microsoft Word), but I was wondering if there is a special software for it.</p>

<p>Something that would help me keep track of the story lines, times, and characters in an easy and organized way as to not get lost in my own story</p>
",,5,2010-11-27T07:56:56.470,2010-11-18T20:46:37.327,69,9,2012-03-06T07:57:45.760,2011-03-28T16:24:40.850,,743,,8,,1,69,<software><organization>,Is there a special software for writers?,15000,"Whenever I attempt to write something, I do it in a common word processor (like Microsoft Word), but I was wondering if there is a special software for it.
Something that would help me keep track of the story lines, times, and characters in an easy and organized way as to not get lost in my own story
"
7,,,"<p>If you have a point that you do want to convey, this is certainly a legitimate practice.  You shouldn't make artificial points just to have them, however.</p>

<p>It is important to ensure that your point does not become too contrived, as well.  There are cases where everything should be a microcosm of your main theme, but they are rare, even in a short story.  You do need to have a strong plot and characters and setting as well.  The point will be lost if the writing falters because of it.</p>

<p>Many stories are written as an allegory of a specific point, but even if you do not take it so far as to be that obvious, there is nothing wrong with this.</p>
",,0,,2010-11-18T20:46:43.780,,10,2010-11-18T20:46:43.780,,,,,7,5,2,7,,,,"If you have a point that you do want to convey, this is certainly a legitimate practice.  You shouldn't make artificial points just to have them, however.
It is important to ensure that your point does not become too contrived, as well.  There are cases where everything should be a microcosm of your main theme, but they are rare, even in a short story.  You do need to have a strong plot and characters and setting as well.  The point will be lost if the writing falters because of it.
Many stories are written as an allegory of a specific point, but even if you do not take it so far as to be that obvious, there is nothing wrong with this.
"
8,22,1,"<p>I heard a writer talking about pantsing a story. What does that mean?</p>
",,1,,2010-11-18T20:47:28.260,2,11,2018-07-12T17:54:42.237,2018-07-12T17:54:42.237,,26,,25,,1,23,<terminology><preparation>,Pantsing a story?,972,"I heard a writer talking about pantsing a story. What does that mean?
"
9,,,"<p>In the sense you mean, it probably stands for general fiction, i.e. not romances, science-fiction, or mysteries. (Fiction that is ""literary"".) There's a lot of genre fiction that has excellent character development, but like anything else, the vast majority of anything is usually pretty bad. It may have other meanings as well. An agent I know uses this term ""literary fiction"" to refer to anything she handles that's not non-fiction. (Including graphic novels.) </p>
",,0,,2010-11-18T20:49:53.847,,14,2010-11-18T20:49:53.847,,,,,26,7,2,5,,,,"In the sense you mean, it probably stands for general fiction, i.e. not romances, science-fiction, or mysteries. (Fiction that is ""literary"".) There's a lot of genre fiction that has excellent character development, but like anything else, the vast majority of anything is usually pretty bad. It may have other meanings as well. An agent I know uses this term ""literary fiction"" to refer to anything she handles that's not non-fiction. (Including graphic novels.) 
"
